,id,timestamp,Active_Energy_+_Total_ini,Active_Energy_+_Total_end,Active_Energy_+_Incr,Active_Energy_-_Total_ini,Active_Energy_-_Total_end,Active_Energy_-_Incr,Average_voltage_L1,Average_voltage_L2,Average_voltage_L3,Average_current_L1,Average_current_L2,Average_current_L3,L1_Average_Active_Power,L2_Average_Active_Power,L3_Average_Active_Power,L1_Average_Reactive_Power,L2_Average_Reactive_Power,L3_Average_Reactive_Power
7965,BBB6004,2019-08-24T09:30:00Z,170606385.0,170607026.0,646.0,55390104.00000001,55390104.00000001,0.0,235.8563333333332,237.08827777777773,233.52038888888885,,,,,,,,,
7966,BBB6004,2019-08-24T09:45:00Z,170607030.0,170607638.0,612.0,55390104.00000001,55390104.00000001,0.0,235.9043333333331,237.2575555555556,233.4396111111111,,,,,,,,,
7967,BBB6004,2019-08-24T10:00:00Z,170607642.0,170608210.0,572.0,55390104.00000001,55390104.00000001,0.0,236.178275862069,237.42936781609183,233.5039655172414,,,,,,,,,
7968,BBB6004,2019-08-24T10:15:00Z,170608220.0,170608829.00000003,619.0000000298023,55390104.00000001,55390104.00000001,0.0,236.48971098265892,237.8306358381503,233.90456647398838,,,,,,,,,
7969,BBB6004,2019-08-24T10:30:00Z,170608835.0,170609402.0,572.9999999701977,55390104.00000001,55390104.00000001,0.0,236.6801123595508,238.15859550561802,234.23820224719097,,,,,,,,,
7970,BBB6004,2019-08-24T10:45:00Z,170609404.00000003,170609986.0,584.0,55390104.00000001,55390104.00000001,0.0,236.41033707865165,237.93073033707876,234.3511797752809,,,,,,,,,
7971,BBB6004,2019-08-24T11:00:00Z,170609991.0,170610808.00000003,822.0000000298023,55390104.00000001,55390104.00000001,0.0,236.32268156424567,237.60044692737424,234.7492178770949,,,,,,,,,
7972,BBB6004,2019-08-24T11:15:00Z,170610816.00000003,170611780.0,971.9999999701977,55390104.00000001,55390104.00000001,0.0,236.14703910614526,237.55770949720664,235.3090502793296,,,,,,,,,
7973,BBB6004,2019-08-24T11:30:00Z,170611783.00000003,170612392.0,612.0,55390104.00000001,55390104.00000001,0.0,236.98433734939738,238.61204819277117,234.84530120481918,,,,,,,,,
7974,BBB6004,2019-08-24T11:45:00Z,170612397.0,170613321.00000003,929.0000000298023,55390104.00000001,55390106.00000001,2.0,236.66256250000006,238.21437499999996,236.02524999999986,,,,,,,,,
7975,BBB6004,2019-08-24T12:00:00Z,170613321.00000003,170613370.0,48.99999997019768,55390107.0,55390287.00000001,181.0,237.34446927374285,240.4111731843576,237.69687150837984,,,,,,,,,
7976,BBB6004,2019-08-24T12:15:00Z,170613370.0,170613370.0,0.0,55390287.00000001,55390479.00000001,192.0,238.24323863636357,239.69374999999994,237.6717613636363,,,,,,,,,
7977,BBB6004,2019-08-24T12:30:00Z,170613370.0,170613370.0,0.0,55390480.0,55390903.00000001,424.0,238.39514285714273,239.98605714285722,236.98337142857144,,,,,,,,,
7978,BBB6004,2019-08-24T12:45:00Z,170613370.0,170613370.0,0.0,55390904.0,55391172.00000001,269.0,238.1870760233918,239.60175438596488,237.2489473684209,,,,,,,,,
7979,BBB6004,2019-08-24T13:00:00Z,170613370.0,170613370.0,0.0,55391173.00000001,55391328.00000001,156.0,237.97975757575747,239.33024242424236,237.63290909090904,,,,,,,,,
7980,BBB6004,2019-08-24T13:15:00Z,170613370.0,170613380.0,10.0,55391330.0,55391365.0,36.99999999254942,237.38097142857129,238.90874285714293,237.6308,,,,,,,,,
7981,BBB6004,2019-08-24T13:30:00Z,170613380.0,170613380.0,0.0,55391365.0,55391541.00000001,176.00000000745058,238.15874251497007,239.85071856287433,237.95395209580838,,,,,,,,,
7982,BBB6004,2019-08-24T13:45:00Z,170613380.0,170613380.0,0.0,55391561.00000001,55392028.00000001,487.0,238.5106779661016,240.2468926553673,236.97531073446342,,,,,,,,,
7983,BBB6004,2019-08-24T14:00:00Z,170613380.0,170613381.99999997,1.9999999701976776,55392032.00000001,55392415.0,386.9999999925494,238.04199999999983,239.7021714285714,236.85394285714278,,,,,,,,,
7984,BBB6004,2019-08-24T14:15:00Z,170613381.99999997,170613439.0,57.00000002980232,55392415.0,55392421.00000001,6.000000007450581,237.14433734939757,238.51957831325296,237.63126506024088,,,,,,,,,
7985,BBB6004,2019-08-24T14:30:00Z,170613440.0,170613505.0,66.0,55392421.00000001,55392421.00000001,0.0,237.02988304093543,238.46929824561403,237.5678947368421,,,,,,,,,
7986,BBB6004,2019-08-24T14:45:00Z,170613505.0,170613505.0,0.0,55392421.00000001,55392695.0,273.9999999925494,237.49268156424577,238.83005586592176,236.60731843575402,,,,,,,,,
7987,BBB6004,2019-08-24T15:00:00Z,170613505.0,170613506.00000003,1.0000000298023224,55392695.0,55392856.00000001,161.00000000745058,237.06999999999988,238.39578034682083,236.85491329479777,,,,,,,,,
